SSP_ID_1,SSP_ID_2,K_Vec
1297,4842,919
724,1341,920
1387,1923,920
583,1249,921
1796,1902,923
1023,4672,925
3941,4370,925
1702,3349,927
1954,2386,927
959,2153,927
738,1686,928
1513,3230,928
322,2849,928
277,3354,930
210,2471,931
2723,2911,931
1314,1474,931
3365,4566,933
635,3689,934
3848,4860,937
973,2912,938
477,1474,939
3159,4684,940
2025,4918,940
541,3850,941
3630,4782,942
244,540,942
2678,3037,942
1566,4637,942
1913,4035,942
1082,2888,942
77,4830,944
1411,1667,945
71,3354,947
1928,2723,947
2510,4974,947
940,4640,948
212,1341,948
3562,3595,948
1963,4273,948
557,3058,948
2144,3024,949
4028,4555,949
1718,3770,949
836,1371,949
2165,3465,951
1138,1284,951
2413,4479,952
1134,3610,953
2998,4231,953
605,2419,954
2184,3792,955
1098,4219,955
1828,4039,955
2763,4507,959
1464,2191,959
562,2625,960
545,1968,962
4190,4899,964
580,4890,964
3385,4473,966
2808,4867,966
503,1586,967
775,1588,969
4801,5011,969
561,1397,969
1894,2862,970
313,3020,971
4255,4545,972
3335,3836,973
374,1654,974
819,4453,975
120,830,975
1512,4509,975
329,2894,975
1634,2713,975
295,3307,975
1554,4176,976
845,4781,976
503,2831,977
3668,4763,977
4673,4998,977
2812,3431,977
741,2689,978
2385,4297,980
490,3605,980
497,1928,981
2385,4298,982
2086,4423,982
825,2947,984
1954,4437,986
619,3168,986
1799,3802,988
997,1990,989
2863,4733,989
3963,4176,989
294,1976,990
27,4777,990
560,4223,991
839,1609,991
3801,4104,992
1402,3023,992
3618,4762,992
1102,4731,994
506,2165,995
506,4017,996
2601,3623,998
1682,3768,999
785,3265,1000
1492,2736,1001
1459,2703,1001
501,1365,1002
442,538,1002
89,1789,1002
2775,4200,1003
1530,1648,1005
613,1396,1006
1034,4927,1006
1179,1575,1007
3148,3644,1007
2887,3096,1009
2449,3476,1009
670,1137,1009
4313,4626,1009
138,4806,1009
399,3504,1012
290,3940,1013
816,4013,1013
1452,1489,1013
400,3504,1014
2299,4299,1014
3478,3640,1014
2826,4323,1016
1050,2338,1017
229,1701,1021
952,1722,1021
2314,2749,1022
3581,4975,1023
1594,1702,1023
483,534,1023
1363,4086,1024
2236,2879,1025
3958,4659,1026
1908,3909,1028
1661,3031,1028
4276,4412,1030
1248,4203,1033
1182,2445,1034
2386,3578,1035
3236,4195,1035
4019,4304,1036
1183,4830,1036
3876,4496,1037
1181,3532,1037
1834,4956,1038
142,1039,1042
325,3665,1042
2190,2297,1044
488,3374,1045
630,3336,1047
2614,3337,1049
525,3362,1049
2594,4384,1051
136,1170,1052
3310,3312,1053
4571,4995,1054
1954,3810,1054
3908,4079,1056
2779,3497,1059
2725,4923,1060
4159,5060,1060
2193,2319,1063
719,3168,1064
3394,4388,1064
1557,1984,1064
2025,3806,1064
783,2560,1064
216,3096,1064
471,3432,1065
166,2057,1065
1482,3614,1066
1049,4165,1067
458,4165,1071
2572,3963,1071
2561,3644,1072
2105,2139,1073
559,2517,1074
209,377,1075
624,2226,1079
689,4381,1079
616,4083,1079
98,193,1081
2980,4124,1084
519,1068,1086
335,2761,1087
1300,2181,1088
3051,4018,1090
2297,3620,1092
1447,4983,1094
1050,1195,1094
1753,3500,1096
631,4481,1096
177,2021,1098
2016,3525,1099
4527,4593,1099
506,3243,1101
1771,3350,1102
321,2249,1105
902,3194,1106
2254,3881,1110
4217,4397,1112
41,4892,1112
11,1993,1112
1060,1189,1113
2052,3729,1114
567,4974,1115
2491,4989,1116
403,549,1117
915,1481,1118
2113,4767,1120
1340,4695,1121
701,4148,1121
2441,4210,1122
629,4454,1122
268,3993,1125
4187,4680,1125
2544,3274,1125
294,3012,1126
185,4454,1127
301,4928,1128
448,1491,1128
543,1450,1130
370,3299,1131
1523,1905,1132
2964,4228,1132
2543,2659,1135
2413,4918,1135
825,2479,1135
2645,2708,1136
864,1400,1137
1519,2185,1137
1477,1603,1137
2436,4803,1137
3212,3961,1138
1263,2585,1139
1051,3710,1139
880,2444,1139
1214,2741,1140
299,2359,1140
3184,4321,1140
1204,1969,1142
2752,4294,1142
2389,2543,1144
2163,3673,1144
790,2372,1144
3895,4687,1147
2424,4569,1147
4631,4948,1147
460,634,1147
3546,4500,1149
155,1894,1149
1571,2240,1150
2085,4966,1151
51,3861,1152
708,4299,1152
419,3760,1153
1966,4040,1153
939,4368,1154
1669,4967,1154
159,3945,1155
1603,1780,1156
