st_TM_SNT1,st_TM_SNT2,st_TM_SNT3,st_TM_SNT4,st_TM_SNT5,st_TM_SNT6,st_TM_SNT7,st_TM_SNT8,st_TM_SNT9,st_TM_SNT10,st_TM_SNT11,st_TM_SNT12
287,4615,280,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0
289,4953,0,0,0,0,0,0,0,0,0,0
290,503,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0
293,2124,4677,0,0,0,0,0,0,0,0,0
294,3202,0,0,0,0,0,0,0,0,0,0
295,4599,3755,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0
297,3513,1737,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0
299,725,4861,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0
302,4820,1910,0,0,0,0,0,0,0,0,0
303,4731,0,0,0,0,0,0,0,0,0,0
304,3895,0,0,0,0,0,0,0,0,0,0
305,4470,0,0,0,0,0,0,0,0,0,0
306,2809,0,0,0,0,0,0,0,0,0,0
307,976,772,4141,1243,0,0,0,0,0,0,0
308,1825,2961,0,0,0,0,0,0,0,0,0
309,3890,2371,0,0,0,0,0,0,0,0,0
310,496,0,0,0,0,0,0,0,0,0,0
311,2698,948,0,0,0,0,0,0,0,0,0
312,170,0,0,0,0,0,0,0,0,0,0
313,2271,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0
315,881,0,0,0,0,0,0,0,0,0,0
316,649,0,0,0,0,0,0,0,0,0,0
317,1731,0,0,0,0,0,0,0,0,0,0
318,2781,198,0,0,0,0,0,0,0,0,0
319,4235,1216,662,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0
321,2442,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0
324,4476,0,0,0,0,0,0,0,0,0,0
325,4344,4382,0,0,0,0,0,0,0,0,0
326,3498,3499,2692,1330,2813,2006,3050,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0
328,1888,0,0,0,0,0,0,0,0,0,0
329,3925,0,0,0,0,0,0,0,0,0,0
330,4587,0,0,0,0,0,0,0,0,0,0
331,372,0,0,0,0,0,0,0,0,0,0
332,4601,0,0,0,0,0,0,0,0,0,0
333,2302,0,0,0,0,0,0,0,0,0,0
334,3027,4664,4826,0,0,0,0,0,0,0,0
335,2173,4148,2699,4274,1230,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0
337,1346,3864,3863,2573,1768,4352,4429,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0
339,3419,2711,719,362,3898,459,2681,619,1726,146,0
340,1804,4438,4722,1183,0,0,0,0,0,0,0
341,1964,3297,2965,1070,0,0,0,0,0,0,0
342,401,3563,4954,1085,0,0,0,0,0,0,0
343,3234,1812,0,0,0,0,0,0,0,0,0
344,3303,2188,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0
346,1020,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0
348,581,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0
351,4993,3639,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0
353,3198,4585,1173,1792,0,0,0,0,0,0,0
354,208,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0
356,1163,0,0,0,0,0,0,0,0,0,0
357,2050,0,0,0,0,0,0,0,0,0,0
358,932,3025,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0
360,818,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0,0
362,2681,1726,3419,3898,619,719,459,2711,339,146,0
363,863,2358,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0,0
365,3065,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0
