StarID,RA,Dec,Mag
7974,2.44975138,-47.70382692,4.24
58195,16.5230393,-34.70432087,4.24
3762,1.14559982,86.25711803,4.24
15148,4.61150934,41.26485467,4.25
30218,8.38059169,43.18837233,4.25
78089,21.75748035,61.12081043,4.25
51283,14.45875625,75.69593921,4.25
46078,12.8905961,-40.17881857,4.25
4106,1.26263759,-68.87623708,4.25
16971,5.15243971,-8.75407607,4.25
13429,4.10973758,50.35135022,4.25
15095,4.59423154,10.16091706,4.25
16088,4.90083628,66.34266029,4.26
32566,8.97477693,11.85777198,4.26
3804,1.15836727,47.2418241,4.26
11656,3.56312442,-21.63281597,4.26
63562,18.02511192,21.59568814,4.26
5731,1.75655241,9.15764102,4.26
79173,22.06310052,64.62775425,4.26
62023,17.60912409,-38.63486521,4.26
10892,3.33145134,-43.07154929,4.26
13951,4.26708095,-51.48709578,4.26
74414,20.77764388,16.12477326,4.27
68887,19.38696127,-44.79964788,4.27
8987,2.7489926,10.11421979,4.27
15232,4.63594491,12.51087423,4.27
13924,4.25890144,8.89240989,4.27
46773,13.11518417,-49.90621586,4.27
3437,1.04907107,7.89007256,4.27
54125,15.30890239,-47.87519201,4.27
84008,23.46615772,6.37909727,4.27
15439,4.7040843,22.95697545,4.27
82832,23.1146579,-43.52032436,4.28
34986,9.61815331,81.32642085,4.28
37949,10.4525433,-31.06780228,4.28
14573,4.43844298,22.81369394,4.28
76670,21.3707715,-16.83455521,4.28
79533,22.16645906,33.17826747,4.28
72232,20.22327809,56.56752223,4.28
61467,17.45590667,-29.86669942,4.28
55573,15.73429554,77.79449901,4.29
38685,10.65511459,-55.60327905,4.29
42717,11.88182257,-33.90813014,4.29
