SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3
4343,84.5046629166667,7.54141972222222,5.87,0.00077,-0.0147,0.0949364019186696,0.986793993189816,0.131242883979414
4344,87.4729158333333,-22.9718716666667,5.87,-0.00111,0.0214,0.0405950219001002,0.919801179003049,-0.390279176105427
4345,88.87571375,-4.61654583333333,5.87,0.00181,-0.0205,0.019557579942591,0.996563786675296,-0.0804867700568526
4346,93.7850108333333,-20.2721858333333,5.87,0.00017,0.0307,-0.0619238442911489,0.936011126937151,-0.346480313665942
4347,97.5123933333333,46.6855538888889,5.87,-0.00065,0.0075,-0.0896883199239954,0.68011360128117,0.72759981763437
4348,102.45765125,16.2028877777778,5.87,-0.00104,-0.0104,-0.207149551670777,0.937670527167794,0.279039505668047
4349,109.5092225,40.8833925,5.87,-0.00133,0.0122,-0.252487123401975,0.712637074189233,0.654521697888775
4350,112.356832916667,-7.55116833333333,5.87,0.00342,0.1259,-0.377075068858225,0.91681262833126,-0.131411555724346
4351,112.498847083333,-52.6511575,5.87,-0.00247,0.0535,-0.232149860375998,0.560491241041244,-0.794956609535043
4352,116.543934583333,-37.93367,5.87,-0.00165,0.0124,-0.352467609523624,0.705585215085352,-0.614748801129095
4353,132.50929625,-29.4629969444444,5.87,-0.00121,0.0054,-0.588322658716029,0.641832417324053,-0.49186135984977
4354,139.364873333333,-74.7345908333333,5.87,-0.00736,0.0352,-0.199803971697981,0.171465310504624,-0.964716549141386
4355,191.692619583333,-33.3154827777778,5.87,0.00093,-0.0283,-0.818318148142909,-0.169355614293256,-0.549248654370053
4356,218.374864583333,-52.6795222222222,5.87,-0.00031,-0.0171,-0.475297083344367,-0.376376447044183,-0.795256846983875
4357,221.524774583333,15.1317877777778,5.87,-0.00588,0.0193,-0.722711244499685,-0.63995821419644,0.261040114074867
4358,225.30456875,-38.0583980555555,5.87,0.00258,-0.0344,-0.553796287969591,-0.559715468773888,-0.616464326174944
4359,229.608859166667,0.461234166666667,5.87,-0.00077,0.0013,-0.647981146771572,-0.761613833544028,0.00804996788617656
4360,236.007582083333,2.51517333333333,5.87,-0.003,-0.1447,-0.558544588967763,-0.828312827577645,0.0438839584034907
4361,238.66470875,-25.2437411111111,5.87,-0.00091,-0.0255,-0.470381891931894,-0.772569912166794,-0.426469936287617
4362,242.94833,42.3745688888889,5.87,-0.00063,0.0247,-0.335981020175329,-0.65793241001776,0.673974552880276
4363,253.355087083333,-20.415555,5.87,-0.00413,-0.0273,-0.268447456638597,-0.897917613448752,-0.348826493378536
4364,262.864436666667,-80.8591336111111,5.87,-0.00095,-0.0433,-0.0197334607273693,-0.157631918718635,-0.987300748874831
4365,285.873534166667,-68.7555305555556,5.87,-0.00383,-0.0045,0.0991076136272849,-0.348530927024645,-0.9320428497813
4366,304.002561666667,45.579525,5.87,0.00088,-0.0549,0.391415466362452,-0.580241331848069,0.714222605010121
4367,305.934870833333,37.4764486111111,5.87,0.00043,0.0002,0.465738317502791,-0.64256855004017,0.608435270270341
4368,312.674073333333,-12.5449058333333,5.87,0.00868,-0.0724,0.661644653097726,-0.717668768260582,-0.217204723913935
4369,333.4112475,28.6080172222222,5.87,0.00562,-0.004,0.785069449252765,-0.392940754423211,0.478814706711561
4370,347.435960416667,-28.0885719444444,5.87,0.00143,0.0017,0.86109467942433,-0.191910094873296,-0.470835925299709
4371,357.4206675,36.4252808333333,5.87,2e-05,-0.0478,0.803816684207606,-0.0362105594215474,0.593773975158787
4372,4.65940625,31.5172269444444,5.88,0.00454,-0.0029,0.84966573307235,0.069249221782522,0.522754901770553
4373,5.10167666666667,30.9356136111111,5.88,0.00119,-0.0006,0.854347545570287,0.0762736873933815,0.514074504317655
4374,9.19713458333333,15.2317255555556,5.88,6e-05,-0.0142,0.952467035143917,0.154217114772951,0.262723482915523
4375,9.84085875,21.2504725,5.88,-0.03298,-0.3709,0.918291610480347,0.159290976202656,0.3624457242427
4376,24.4815141666667,-82.9749952777778,5.88,0.06666,0.1207,0.111306890260676,0.0506821083673367,-0.992492871547166
4377,30.0381658333333,3.097015,5.88,0.01544,-0.2552,0.864427796763642,0.499845666210126,0.0540267910698999
4378,35.52076125,-17.6621694444444,5.88,0.00063,-0.0581,0.775539203562475,0.553610844195309,-0.303403983044123
4379,44.9161641666667,41.0329405555556,5.88,0.0013,-0.0464,0.534173361805672,0.532612427645544,0.656492819042789
4380,45.4068225,-28.0915538888889,5.88,0.02139,-0.4409,0.619362016957175,0.628220490803459,-0.470881839621577
4381,84.2870725,26.9242219444444,5.88,0.00127,-0.0199,0.0887542767481797,0.887177694726666,0.452811678668281
4382,85.5581595833333,-22.3737152777778,5.88,-1e-05,0.0089,0.0716169484938983,0.921943320387221,-0.380646196200367
4383,91.3626345833333,-10.2425958333333,5.88,0.00145,0.026,-0.0234012490720189,0.983785401804223,-0.177816379275848
4384,93.6190966666667,17.9063525,5.88,-0.0002,-0.0106,-0.0600654925263498,0.949662666783055,0.307462121123992
4385,94.2898683333333,-37.2534977777778,5.88,-0.00046,-0.0226,-0.0595400900030646,0.793735054829768,-0.605342581037227
4386,96.31894125,0.9458825,5.88,0.01589,-0.218,-0.110047897944023,0.993789185707346,0.0165080140910857
4387,96.6649383333333,-1.50733583333333,5.88,-0.00067,-0.0294,-0.116022791113724,0.992898163027848,-0.026304938663804
4388,99.4099541666667,56.8575311111111,5.88,-0.00113,0.0098,-0.0893877256392404,0.539365920292474,0.837313703776605
4389,100.911022916667,3.93252777777778,5.88,-4e-05,-0.0029,-0.1888386856478,0.979610383632923,0.0685816818208002
4390,104.233542916667,46.7053522222222,5.88,-0.00901,-0.0763,-0.168608796046364,0.664698907890134,0.727836819448878
4391,127.44248125,67.2974408333333,5.88,-0.01125,0.0107,-0.234642295718081,0.306428248104575,0.92252085170131
