Star_ID,RA,Dec,Distance,pm_RA,pm_Dec,Magnitude,Spectral_Type,Color_Index,x,y,z,v_x,v_y,v_z,RA_Radians,Dec_Radians,pm_RA_Radians,pm_Dec_Radians,Luminosity,RA_hrs,x0,y0,z0
1490,4.659375,31.517227,166.6667,58.09,-2.91,5.88,A0IV,-0.014,141.610946,11.541536,87.12581,-6.93e-06,4.652e-05,-4.68e-06,0.0813215502473365,0.550079377554318,2.81628267034722e-07,-1.4108078e-08,107.547420897279,0.310625,0.849665770336613,0.0692487583205689,0.522754902597145
1559,4.856985,-8.823921,84.1751,-14.37,-37.84,3.56,K2III,1.214,82.880324,7.042663,-12.912353,1.727e-05,-4.42e-06,-1.824e-05,0.0847702514073984,-0.15400648121809,-6.96677258958333e-08,-1.83453496e-07,232.487710150165,0.323799,0.98461606601398,0.0836667844371379,-0.153398408495992
1595,5.01213,-64.874791,8.5866,1707.56,1165.36,4.23,F9V,0.576,3.631914,0.318885,-7.774227,4.144e-05,7.498e-05,1.226e-05,0.0874781017392323,-1.13227869803381,8.27848448369444e-06,5.649824707e-06,1.30496841413022,0.334142,0.422974247018135,0.0370956858856825,-0.90538207208234
1626,5.101665,30.935614,159.7444,15.27,-0.64,5.89,B7V,-0.098,136.477267,12.184297,82.120542,2.7e-06,1.211e-05,1.68e-06,0.0890409437716789,0.539928311850439,7.40310490208333e-08,-3.102807e-09,97.9039017448051,0.340111,0.854347557625849,0.0762735131193677,0.51407451013951
1641,5.149425,8.190271,125,-4.5,9.59,5.38,K3III,1.343,123.225843,11.104763,17.807629,1.555e-05,-1.34e-06,8.08e-06,0.0898743921046133,0.142947200819271,-2.1816615625e-08,4.6493631e-08,95.9400631515934,0.343295,0.985805612822913,0.0888380311903333,0.142460864594688
1643,5.16267,-69.624913,97.561,-4.01,-0.64,5.5,B9V,-0.046,33.829515,3.056494,-91.457047,4.14e-06,-1.53e-06,-1.161e-05,0.0901055678909998,-1.21518397314956,-1.94410285902778e-08,-3.102807e-09,52.2877555313441,0.344178,0.346752050497409,0.0313291311683649,-0.937433464847547
1653,5.18967,32.911186,191.9386,-29.44,-17.29,5.79,K5III,1.595,160.4743,14.575103,104.287431,-1.96e-05,-2.929e-05,-3.351e-05,0.0905768781199589,0.574408564537506,-1.42729147555556e-07,-8.3824285e-08,155.024378887104,0.345978,0.836072403423671,0.075936565738103,0.54333836070838
1682,5.280255,37.968603,48.5437,58.32,-39.65,5.16,F5III,0.442,38.106993,3.521856,29.865569,1.168e-05,1.486e-05,-1.69e-06,0.0921577400042119,0.66267713599954,2.827433385e-07,-1.92228624e-07,17.7174003994312,0.352017,0.785002628750509,0.0725496488619218,0.615229567970203
1702,5.36979,-77.426873,174.8252,14.23,-6.44,5.96,K3III,1.397,37.889928,3.561585,-170.632895,-1.78e-06,1.195e-05,-2.215e-05,0.093720621653634,-1.35135385519251,6.89889867430555e-08,-3.1222001e-08,109.951206687935,0.357986,0.216730166165019,0.0203717431903522,-0.976018968644293
1704,5.379975,-28.981469,101.3171,32.77,-71.48,5.18,K0III,1.006,88.239543,8.310005,-49.090933,2.6e-07,1.619e-05,-4.112e-05,0.0938983811426273,-0.505822052267157,1.58873443118056e-07,-3.46544818e-07,75.7181509714705,0.358665,0.8709228921277,0.0820193529235343,-0.484526719298253
1724,5.442795,-20.058024,270.2703,62.63,-12.77,5.61,M5/M6Ib/II,1.58,252.73287,24.080813,-92.695126,1.424e-05,8.379e-05,-2.589e-05,0.0949947318395711,-0.350078551718686,3.03638808131944e-07,-6.1910707e-08,362.743801476458,0.362853,0.93511063382499,0.0890987178963073,-0.342971603746811
1916,6.06522,52.019914,306.7485,13.7,-4.4,5.58,B5IV,-0.11,187.712485,19.945498,241.786691,-1.41e-06,2.034e-05,-9.67e-06,0.1058580161704,0.907918774346741,6.64194742361111e-08,-2.1331801e-08,480.396682929681,0.404348,0.611942777421573,0.0650221339860171,0.788224688304976
1955,6.197895,61.831057,215.0538,13.67,-2.45,5.38,B9III,0.008,100.927665,10.96058,189.582683,-1.22e-06,1.42e-05,-4.81e-06,0.108173800897764,1.07915553206807,6.62740301319444e-08,-1.1877935e-08,283.922623942491,0.413193,0.469313688527621,0.0509663363476777,0.881559467262359
1977,6.276675,53.046786,158.2278,25.8,0.3,5.72,B9IV,-0.056,94.5505,10.399574,126.444126,3.77e-06,2.032e-05,8.31e-06,0.109548550466884,0.925841066726359,1.25081929583333e-07,1.454441e-09,112.305234754108,0.418445,0.597559038779954,0.0657249129867588,0.799126667672441
2000,6.350865,1.939692,144.0922,-14.33,-12.89,5.77,G5III,0.855,143.125834,15.92987,4.877167,-2.65e-06,-1.037e-05,-9.14e-06,0.110843558104246,0.0338540181907738,-6.94738004236111e-08,-6.2492483e-08,88.9610704409229,0.423391,0.993293669904866,0.110553285721981,0.0338475455978284
2016,6.41874,-77.254247,7.4588,2220.12,324.37,2.82,G2IV,0.618,1.635267,0.184517,-7.275205,7.54e-06,8.163e-05,-2.026e-05,0.112028110147992,-1.34834096383632,1.076344548475e-05,1.572590135e-06,3.60744733864192,0.427916,0.219242128889848,0.024664558423902,-0.975358676835143
2069,6.55074,-43.679829,23.8095,106.14,32.83,3.93,A7V,0.175,17.106924,1.964466,-16.443574,9.51e-06,1.342e-05,-5.24e-06,0.114332017585855,-0.762356840312104,5.14581240541667e-07,1.59164331e-07,13.2312233311337,0.436716,0.718488642190829,0.0825060446768852,-0.690627847421862
2076,6.57084,-42.305981,25.974,232.76,-353.64,2.4,K0III...,1.083,19.083654,2.198282,-17.483284,2.323e-05,3.218e-05,-8.456e-05,0.114682902957825,-0.738378668832116,1.12845232286111e-06,-1.714495099e-06,64.4465984741688,0.438056,0.734702759525463,0.0846291079706266,-0.673089718558949
2153,6.811275,-25.54717,176.0563,32.93,-15.26,5.99,K0III,1.022,157.722258,18.838748,-75.924977,-1.166e-05,2.691e-05,-1.043e-05,0.118879201930019,-0.445882236347461,1.59649145006944e-07,-7.3982567e-08,108.442619576707,0.454085,0.895862777845104,0.10700397275949,-0.431254023848289
2204,6.98208,-33.007167,138.5042,-20.48,-50.39,4.86,M2/M3III,1.634,115.288699,14.119065,-75.449377,-7.26e-06,-1.474e-05,-3.45e-05,0.121860392213884,-0.576083740604114,-9.92898417777778e-08,-2.44297613e-07,190.020300257723,0.465472,0.832383541985222,0.101939594189482,-0.544743938166016
2213,7.012125,17.893125,162.0746,114.91,20.48,5.01,M3IIIvar,1.584,153.081675,18.829007,49.79621,-1.013e-05,8.972e-05,1.72e-05,0.122384783619753,0.312293939786109,5.57099400326389e-07,9.9289841e-08,226.777519156726,0.467475,0.944513398094866,0.116174560545124,0.307242432455929
2220,7.05681,44.394452,86.6551,84.1,-15.33,5.18,A2Vs,0.043,61.44953,7.606996,60.623414,1.58e-06,3.579e-05,-3.17e-06,0.123164552622672,0.774829355683051,4.07728305347222e-07,-7.4321937e-08,55.4115118971687,0.470454,0.709127658445241,0.0877837308558577,0.69959415422443
2234,7.110405,-39.915002,115.2074,135.95,-41.36,5.42,M0III,1.556,87.684385,10.937992,-73.923068,8e-07,7.662e-05,-3.872e-05,0.124099951161739,-0.696648210540707,6.59104198715278e-07,-2.00518938e-07,78.487410348873,0.474027,0.76109856131807,0.0949402013277399,-0.64165047972507
2347,7.509825,-3.957332,173.913,8.61,-14.51,5.72,M0III,1.545,172.0102,22.675579,-12.00236,3.27e-06,7.75e-06,-1.256e-05,0.131071162246507,-0.0690684705315688,4.17424578958333e-08,-7.0346465e-08,135.768806413909,0.500655,0.989058636672348,0.130384585677751,-0.0690135714296659
2349,7.530675,29.751557,62.7746,43.56,-57.18,5.2,A7III,0.271,54.029838,7.142605,31.151228,-1.98e-06,1.311e-05,-2.018e-05,0.131435011867343,0.519262620355957,2.1118483925e-07,-2.77216462e-07,28.5495981690041,0.502045,0.860697090662458,0.113781741289724,0.496240096600686
2371,7.58301,59.977554,235.8491,16.26,-3.94,5.94,B9IIIn,-0.003,116.972486,15.572249,204.204968,-7.21e-06,1.779e-05,-1.731e-05,0.132348547768664,1.04680579986048,7.88307044583333e-08,-1.9101659e-08,203.798038628706,0.505534,0.495963623531363,0.0660259949309519,0.865829459031638
2375,7.594395,-23.78768,53.1067,-26.95,13.97,5.17,A3V,0.128,48.168847,6.422298,-21.420512,2.82e-06,-6.62e-06,3.08e-06,0.13254724774874,-0.415173342375879,-1.30657286909722e-07,6.7728471e-08,21.0087396924099,0.506293,0.907020065013112,0.120932006976501,-0.403348548221318
2377,7.60863,-48.21491,43.0849,163.44,-87.3,5.67,F2V,0.367,28.456358,3.801349,-32.126245,-1.664e-05,3.222e-05,-1.368e-05,0.132795556320446,-0.841508933370501,7.923794795e-07,-4.23242343e-07,8.72569442770116,0.507242,0.660471748762388,0.0882270010709156,-0.745649425245394
2466,7.85391,-48.803514,52.9661,140.74,19.47,4.76,A0V,0.018,34.558503,4.767165,-39.85461,-2.55e-06,3.613e-05,4.83e-06,0.137076571359273,-0.851782011059299,6.82326774013889e-07,9.4393223e-08,30.4789498962798,0.523594,0.652465044837706,0.0900021028790067,-0.752455305478197
2469,7.856805,33.581642,116.144,49.61,-16.26,5.88,K1III...,1.133,95.851154,13.226847,64.242154,8.79e-06,2.941e-05,-2.54e-06,0.137127169515586,0.58611022323134,2.40516066923611e-07,-7.8830704e-08,52.239618899912,0.523787,0.825278046873834,0.113882705796761,0.553124646592898
2478,7.885875,-62.958218,41.4079,82.48,-54.37,4.36,B9V,-0.064,18.64771,2.582977,-36.881102,-5.45e-06,1.596e-05,-1.771e-05,0.137634399900333,-1.09882818744048,3.99874323722222e-07,-2.63593198e-07,26.9153480392692,0.525725,0.450340743167713,0.0623767867843009,-0.890675222240754
2479,7.88919,-62.965561,51.6529,87.95,-45.79,4.53,A2V,0.147,23.255404,3.222589,-46.009047,-8.53e-06,2.105e-05,-1.432e-05,0.13769240594428,-1.09895635546661,4.26393632048611e-07,-2.21996184e-07,35.8096437102636,0.525946,0.450224061598147,0.0623871740726169,-0.890733481390085
2491,7.921575,52.839526,116.8224,-55.33,-13.14,5.59,K2III,1.163,69.892874,9.725158,93.10087,-2.163e-05,-3.465e-05,-4.688e-05,0.138257613835167,0.922223711585476,-2.68247409451389e-07,-6.3704517e-08,69.0557744219684,0.528105,0.598285418818063,0.0832485993996094,0.796946816498879
2499,7.943085,54.522289,115.7407,40.78,-14.81,4.74,B8Vn,-0.098,66.52975,9.282854,94.252351,-3.51e-06,2.261e-05,-1.482e-05,0.138633078936416,0.951593452742073,1.97707018930556e-07,-7.1800906e-08,148.183551751643,0.529539,0.574817882546019,0.0802031901854656,0.814341359743802
2543,8.099085,6.955463,80.9717,45.91,3.54,5.69,B9.5V,-0.014,79.574268,11.323808,9.805512,1.438e-05,2.025e-05,3.48e-06,0.141355795557156,0.121395733171035,2.22577960743056e-07,1.7162404e-08,30.2551980387231,0.539939,0.982739894174635,0.139848586899672,0.121097783381003
