SSP_ID,SKY2000_ID,RA,DE,Vmag,pmRA,pmDE,X,Y,Z
2428,J222011.91-074915.9,335.0496525,-7.82110194444444,5.35,0.00102,0.0016,0.898239617951738,-0.417908720608507,-0.136080454075066
2429,J232154.93+314844.8,350.478887916667,31.8124647222222,5.35,0.00081,-0.0068,0.838072101876014,-0.140562648387117,0.527140677557253
2430,J233908.33+502818.2,354.784717083333,50.4717327777778,5.35,-0.00175,-0.0019,0.633824008716947,-0.0578529723277682,0.771310676424761
2431,J234134.48-180137.4,355.393703333333,-18.0270769444444,5.35,-0.00286,-0.0723,0.947838989658369,-0.0763661548087058,-0.309466411882025
2432,J014559.26-054359.8,26.4969183333333,-5.73329916666667,5.36,-0.00061,-0.0297,0.890481490391407,0.443917894422397,-0.0998980394296293
2433,J020114.72-300006.5,30.31134625,-30.0018302777778,5.36,-0.00837,-0.1088,0.747622150843884,0.437073740252658,-0.500027664383799
2434,J023209.42-010205.6,38.03925375,-1.03489611111111,5.36,-0.00177,-0.0323,0.787460303353783,0.61610068806074,-0.0180613624361549
2435,J041936.70+214624.5,64.9029404166667,21.7734911111111,5.36,0.00214,-0.0414,0.393892836771953,0.840983515457823,0.370938215701678
2436,J053331.44-010921.8,83.3810275,-1.15607277777778,5.36,-4e-05,-0.0005,0.115242619373836,0.993132454129319,-0.0201759072889644
2437,J061850.58-092324.0,94.7107625,-9.39001833333333,5.36,0.00029,-0.0227,-0.0810252812910968,0.983267841421819,-0.163154086119152
2438,J065305.05+592654.7,103.271074166667,59.4485291666667,5.36,-0.00176,-0.05,-0.116687331814975,0.494737656979487,0.861172873098282
2439,J072328.99-275003.4,110.87080125,-27.8342936111111,5.36,0.00199,-0.0041,-0.315042964814292,0.826279232021376,-0.466916010703408
2440,J072955.95+494020.8,112.483150416667,49.6724627777778,5.36,0.01137,-0.082,-0.247480136937221,0.597967223120124,0.762357384627146
2441,J074535.02-341020.5,116.395925833333,-34.1723636111111,5.36,-0.01779,1.7227,-0.36781692889815,0.741094711485316,-0.561684373491403
2442,J093219.27-403857.6,143.080325833333,-40.649335,5.36,0.00085,-0.0057,-0.606572823776214,0.455753543545084,-0.651427752711111
